SUBCAT,DESCRICAO
F133,Mental and behavioral disorders due to the use of sedatives and hypnotics - withdrawal [state] syndrome
F134,Mental and behavioral disorders due to the use of sedatives and hypnotics - withdrawal syndrome with delirium
F135,Mental and behavioral disorders due to the use of sedatives and hypnotics - psychotic disorder
F136,Mental and behavioral disorders due to the use of sedatives and hypnotics - amnesic syndrome
F137,Mental and behavioral disorders due to the use of sedatives and hypnotics - residual or late-onset psychotic disorder
F138,Mental and behavioral disorders due to the use of sedatives and hypnotics – other mental or behavioral disorders
F139,Mental and behavioral disorders due to the use of sedatives and hypnotics - unspecified mental or behavioral disorder
F140,Mental and behavioral disorders due to cocaine use - acute intoxication
F141,Mental and behavioral disorders due to cocaine use - harmful use for health
F142,Mental and behavioral disorders due to cocaine use - dependence syndrome
F143,Mental and behavioral disorders due to cocaine use - withdrawal syndrome [state]
F144,Mental and behavioral disorders due to cocaine use - withdrawal syndrome with delirium
F145,Mental and behavioral disorders due to cocaine use - psychotic disorder
F146,Mental and behavioral disorders due to cocaine use - amnesic syndrome
F147,Mental and behavioral disorders due to cocaine use - residual or late-onset psychotic disorder
F148,Mental and behavioral disorders due to cocaine use - other mental or behavioral disorders
F149,Mental and behavioral disorders due to cocaine use - unspecified mental or behavioral disorder
F150,"Mental and behavioral disorders due to the use of other stimulants, including caffeine - acute intoxication"
F151,"Mental and behavioral disorders due to the use of other stimulants, including caffeine - harmful use to health"
F152,"Mental and behavioral disorders due to the use of other stimulants, including caffeine - dependence syndrome"
F153,"Mental and behavioral disorders due to the use of other stimulants, including caffeine - withdrawal syndrome"
F154,"Mental and behavioral disorders due to the use of other stimulants, including caffeine - withdrawal syndrome with delirium"
F155,"Mental and behavioral disorders due to the use of other stimulants, including caffeine - psychotic disorder"
F156,"Mental and behavioral disorders due to the use of other stimulants, including caffeine - amnesic syndrome"
F157,"Mental and behavioral disorders due to the use of other stimulants, including caffeine - residual or late-onset psychotic disorder"
F158,"Mental and behavioral disorders due to the use of other stimulants, including caffeine - other mental or behavioral disorders"
F159,"Mental and behavioral disorders due to the use of other stimulants, including caffeine - unspecified mental or behavioral disorder"
F160,Mental and behavioral disorders due to the use of hallucinogens - acute intoxication
F161,Mental and behavioral disorders due to the use of hallucinogens - harmful use for health
F162,Mental and behavioral disorders due to the use of hallucinogens - dependence syndrome
F163,Mental and behavioral disorders due to hallucinogen use - withdrawal [state] syndrome
F164,Mental and behavioral disorders due to the use of hallucinogens - withdrawal syndrome with delirium
F165,Mental and behavioral disorders due to the use of hallucinogens - psychotic disorder
F166,Mental and behavioral disorders due to the use of hallucinogens - amnesic syndrome
F167,Mental and behavioral disorders due to the use of hallucinogens - residual or late-onset psychotic disorder
F168,Mental and behavioral disorders due to the use of hallucinogens – other mental or behavioral disorders
F169,Mental and behavioral disorders due to the use of hallucinogens - unspecified mental or behavioral disorder
F170,Mental and behavioral disorders due to tobacco use - acute intoxication
F171,Mental and behavioral disorders due to the use of smoking - harmful use for health
F172,Mental and behavioral disorders due to tobacco use - dependence syndrome
F173,Mental and behavioral disorders due to tobacco use - withdrawal [state] syndrome
F174,Mental and behavioral disorders due to smoking use - withdrawal syndrome with delirium
F175,Mental and behavioral disorders due to tobacco use - psychotic disorder
F176,Mental and behavioral disorders due to smoking use - amnesic syndrome
F177,Mental and behavioral disorders due to smoking use - residual or late-onset psychotic disorder
F178,Mental and behavioral disorders due to smoking use - other mental or behavioral disorders
F179,Mental and behavioral disorders due to smoking use - unspecified mental or behavioral disorder
F180,Mental and behavioral disorders due to the use of volatile solvents - acute intoxication
F181,Mental and behavioral disorders due to the use of volatile solvents - harmful use for health
F182,Mental and behavioral disorders due to the use of volatile solvents - dependence syndrome
F183,Mental and behavioral disorders due to the use of volatile solvents - withdrawal [state] syndrome
F184,Mental and behavioral disorders due to the use of volatile solvents - withdrawal syndrome with delirium
F185,Mental and behavioral disorders due to the use of volatile solvents - psychotic disorder
F186,Mental and behavioral disorders due to the use of volatile solvents - amnesic syndrome
F187,Mental and behavioral disorders due to the use of volatile solvents - residual or late-onset psychotic disorder
F188,Mental and behavioral disorders due to the use of volatile solvents - other mental or behavioral disorders
F189,Mental and behavioral disorders due to the use of volatile solvents - unspecified mental or behavioral disorder
F190,Mental and behavioral disorders due to multiple drug use and the use of other psychoactive substances - acute intoxication
F191,Mental and behavioral disorders due to the use of multiple drugs and the use of other psychoactive substances - harmful use to health
F192,Mental and behavioral disorders due to the use of multiple drugs and the use of other psychoactive substances - dependence syndrome
F193,Mental and behavioral disorders due to multiple drug use and use of other psychoactive substances - withdrawal syndrome [state]
F194,Mental and behavioral disorders due to multiple drug use and the use of other psychoactive substances - withdrawal syndrome with delirium
F195,Mental and behavioral disorders due to the use of multiple drugs and the use of other psychoactive substances - psychotic disorder
F196,Mental and behavioral disorders due to the use of multiple drugs and the use of other psychoactive substances - amnesic syndrome
F197,Mental and behavioral disorders due to multiple drug use and use of other psychoactive substances - residual or late-onset psychotic disorder
F198,Mental and behavioral disorders due to multiple drug use and the use of other psychoactive substances – other mental or behavioral disorders
F199,Mental and behavioral disorders due to multiple drug use and the use of other psychoactive substances - unspecified mental or behavioral disorder
F200,Paranoid Schizophrenia
F201,Hebephrenic schizophrenia
F202,Catatonic schizophrenia
F203,Undifferentiated schizophrenia
F204,Post-schizophrenic depression
F205,Residual schizophrenia
F206,Simple schizophrenia
F208,Other schizophrenia
F209,Schizophrenia unspecified
F21,Schizotypal disorder
F220,Delusional disorder
F228,Other persistent delusional disorders
F229,Unspecified persistent delusional disorder
F230,"Polymorphous acute psychotic disorder, without schizophrenic symptoms"
F231,"Polymorphous acute psychotic disorder, with schizophrenic symptoms"
F232,Acute psychotic disorder of schizophrenic type (schizophrenia-like)
F233,"Other acute psychotic disorders, essentially delusional"
F238,Other acute and transient psychotic disorders
F239,Unspecified acute and transient psychotic disorder
F24,Induced delusional disorder
F250,Manic-type schizoaffective disorder
F251,Schizoaffective disorder of the depressive type
F252,Mixed-type schizoaffective disorder
F258,Other schizoaffective disorders
F259,Unspecified schizoaffective disorder
F28,Other non-organic psychotic disorders
F29,Unspecified non-organic psychosis
F300,Hypomania
F301,Mania without psychotic symptoms
F302,Mania with psychotic symptoms
F308,Other manic episodes
F309,Manic episode unspecified
F310,"Bipolar affective disorder, current hypomanic episode"
F311,"Bipolar affective disorder, current manic episode without psychotic symptoms"
F312,"Bipolar affective disorder, current manic episode with psychotic symptoms"
F313,"Bipolar affective disorder, current mild or moderate depressive episode"
F314,"Bipolar affective disorder, current episode of severe depressive without psychotic symptoms"
F315,"Bipolar affective disorder, current episode of severe depressive with psychotic symptoms"
F316,"Bipolar affective disorder, current mixed episode"
F317,"Bipolar affective disorder, currently in remission"
F318,Other bipolar affective disorders
F319,Unspecified bipolar affective disorder
F320,Mild depressive episode
F321,Moderate depressive episode
F322,Major depressive episode without psychotic symptoms
F323,Major depressive episode with psychotic symptoms
F328,Other depressive episodes
F329,Unspecified depressive episode
F330,"Recurrent depressive disorder, mild current episode"
F331,"Recurrent depressive disorder, moderate current episode"
F332,"Recurrent depressive disorder, current severe episode without psychotic symptoms"
F333,"Recurrent depressive disorder, current severe episode with psychotic symptoms"
F334,"Recurrent depressive disorder, currently in remission"
F338,Other recurrent depressive disorders
F339,Recurrent depressive disorder not specified
F340,Cyclothymia
F341,Dysthymia
F348,Other persistent [affective] mood disorders
F349,Unspecified persistent [affective] mood disorder
F380,Other isolated [affective] mood disorders
F381,Other recurrent [affective] mood disorders
F388,Other specified mood disorders [affective]
F39,Unspecified [affective] mood disorder
F400,Agoraphobia
F401,Social phobias
F402,Specific phobias (isolated)
F408,Other phobic-anxiety disorders
F409,Unspecified phobic-anxiety disorder
F410,Panic disorder [paroxysmal episodic anxiety]
F411,Generalized anxiety
F412,Mixed anxiety and depressive disorder
F413,Other mixed anxiety disorders
F418,Other specified anxiety disorders
F419,Unspecified anxiety disorder
F420,Obsessive-compulsive disorder with a predominance of ideas or obsessive ruminations
F421,Obsessive-compulsive disorder with a predominance of compulsive behaviors [obsessive rituals]
F422,"Obsessive-compulsive disorder, mixed form, with obsessive ideas and compulsive behaviors"
F428,Other obsessive-compulsive disorders
F429,Unspecified obsessive-compulsive disorder
F430,Acute Reaction to Stress
F431,Post-traumatic stress state
F432,Adjustment disorders
F438,Other reactions to severe stress
F439,Unspecified reaction to severe stress
F440,Dissociative amnesia
F441,Dissociative fugue
F442,Dissociative stupor
F443,States of trance and possession
F444,Dissociative movement disorders
F445,Dissociative seizures
F446,Dissociative anaesthesia and sensory loss
F447,Mixed [conversion] dissociative disorder
F448,Other [conversion] dissociative disorders
F449,Unspecified [conversion] dissociative disorder
F450,Somatization disorder
F451,Undifferentiated somatoform disorder
F452,Hypochondriac disorder
F453,Somatoform neurovegetative disorder
F454,Persistent somatoform pain disorder
F458,Other somatoform disorders
F459,Unspecified somatoform disorder
F480,Neurasthenia
F481,Depersonalization-derealization syndrome
F488,Other specified neurotic disorders
F489,Unspecified neurotic disorder
F500,Anorexia nervosa
F501,Atypical anorexia nervosa
F502,Bulimia
F503,Atypical bulimia nervosa
F504,Hyperphagia associated with other psychological disorders
F505,Vomiting associated with other psychological disorders
F508,Other eating disorders
F509,Unspecified eating disorder
F510,Non-organic insomnia
F511,Non-organic hypersomnia
F512,Sleep-wake cycle disorder due to non-organic factors
F513,Somnambulism
F514,Night terrors
F515,Nightmares
F518,Other sleep disorders due to non-organic factors
F519,Sleep disturbance due to unspecified non-organic factors
F520,Absence or loss of sexual desire
F521,Sexual aversion and absence of sexual pleasure
F522,Genital response failure
F523,Orgasmic dysfunction
F524,Premature ejaculation
F525,Non-organic vaginismus
F526,Non-organic dyspareunia
F527,Excessive sexual appetite
F528,Other sexual dysfunctions not due to organic disorder or disease
F529,"Sexual dysfunction not due to organic disorder or disease, unspecified"
F530,Mild mental and behavioral disorders associated with the puerperium not elsewhere classified
F531,Serious mental and behavioral disorders associated with the puerperium not elsewhere classified
F538,Other mental and behavioral disorders associated with the puerperium not elsewhere classified
F539,"Mental and behavioral disorder associated with puerperium, unspecified"
F54,Psychological or behavioral factors associated with illness or disorders elsewhere classified
F55,Abuse of non-addictive substances
F59,"Behavioral syndromes associated with disorders of physiological functions and physical factors, unspecified"
F600,Paranoid personality
F601,Schizoid personality
F602,Dissocial personality
F603,Personality disorder with emotional instability
F604,Histrionic personality
F605,Anankastic personality
F606,Anxious personality [avoidant]
F607,Dependent personality
F608,Other specific personality disorders
F609,Unspecified personality disorder
F61,Mixed personality disorders and other personality disorders
F620,Lasting personality modification after a catastrophic experience
F621,Lasting Personality Modification After Psychiatric Illness
F628,Other lasting personality changes
F629,"Lasting personality modification, unspecified"
F630,Pathological gambling
F631,Pyromania
F632,Pathological theft [kleptomania]
F633,Trichotillomania
F638,Other disorders of habits and impulses
F639,"Habit and impulse disorder, unspecified"
F640,Transsexualism
F641,Bivalent transvestism
F642,Childhood Sexual Identity Disorder
F648,Other sexual identity disorders
F649,Unspecified sexual identity disorder
F650,Fetishism
F651,Fetish transvestism
F652,Exhibitionism
F653,Voyeurism
F654,Paedophilia
F655,Sadomasochism
F656,Multiple sexual preference disorders
F658,Other sexual preference disorders
F659,"Sexual preference disorder, unspecified"
F660,Sexual maturation disorder
F661,Egodystonic sexual orientation
F662,Sexual relationship disorder
F668,Other Psychosexual Developmental Disorders
F669,"Disorder of sex development, unspecified"
F680,Physical symptoms increased by psychological factors
F681,"Deliberate production or simulation of symptoms or disabilities, physical or psychological [fictitious disorder]"
F688,Other specified disorders of adult personality and behavior
F69,"Adult personality and behavior disorder, unspecified"
F700,Mild mental retardation - mention of absence of or minimal impairment of behavior
F701,"Mild mental retardation - significant impairment of behavior, requiring vigilance or treatment"
F708,Mild mental retardation - other impairments of behavior
F709,Mild mental retardation - no mention of impairment of behavior
F710,Moderate mental retardation - mention of absence of or minimal impairment of behavior
F711,"Moderate mental retardation – significant impairment of behavior, requiring vigilance or treatment"
F718,Moderate mental retardation - other impairments of behavior
F719,Moderate mental retardation - no mention of impairment of behavior
F720,Severe mental retardation - mention of absence of or minimal impairment of behavior
F721,"Severe mental retardation – significant impairment of behavior, requiring vigilance or treatment"
F728,Severe mental retardation - other impairments of behavior
F729,Severe mental retardation - no mention of impairment of behavior
F730,Profound mental retardation - mention of absence of or minimal impairment of behavior
F731,"Profound mental retardation – significant impairment of behavior, requiring vigilance or treatment"
F738,Profound mental retardation - other behavioral impairments
F739,Profound mental retardation - no mention of impairment of behavior
F780,Other mental retardation - mention of absence of or minimal impairment of behavior
F781,"Other mental retardation – significant impairment of behavior, requiring vigilance or treatment"
F788,Other mental retardation - other impairments of behavior
F789,Other mental retardation - no mention of impairment of behavior
F790,Unspecified mental retardation - mention of absence of or minimal impairment of behavior
F791,"Unspecified mental retardation - significant impairment of behavior, requiring vigilance or treatment"
F798,Unspecified mental retardation - other impairments of behavior
F799,Unspecified mental retardation - no mention of impairment of behavior
F800,Specific speech articulation disorder
F801,Expressive language disorder
F802,Receptive language disorder
F803,Acquired aphasia with epilepsy [Landau-Kleffner syndrome]
F808,Other speech or language developmental disorders
F809,Unspecified developmental speech or language disorder
F810,Specific reading disorder
F811,Specific spelling disorder
F812,Specific arithmetic ability disorder
F813,Mixed school ability disorder
F818,Other disorders of the development of school skills
F819,Unspecified developmental disorder of school skills
F82,Specific motor developmental disorder
F83,Specific mixed developmental disorders
F840,Childhood autism
F841,Atypical autism
F842,Rett syndrome
F843,Other childhood disintegrative disorder
F844,Disorder with hyperkinesia associated with mental retardation and stereotyped movements
F845,Asperger's Syndrome
F848,Other Pervasive Developmental Disorders
F849,Unspecified global developmental disorders
F88,Other disorders of psychological development
F89,Psychological developmental disorder unspecified
F900,Activity and attention disorders
F901,Hyperkinetic conduct disorder
F908,Other hyperkinetic disorders
F909,Hyperkinetic disorder unspecified
F910,Conduct disorder restricted to the family context
F911,Non-socialized conduct disorder
F912,Socialized-type conduct disorder
F913,Defiant and oppositional disorder
F918,Other conduct disorders
F919,Unspecified conduct disorder
F920,Depressive conduct disorder
F928,Other mixed disorders of conduct and emotions
F929,Unspecified mixed disorder of conduct and emotions
F930,Separation distress disorder
F931,Childhood Phobic Anxiety Disorder
F932,Childhood social anxiety disorder
F933,Sibling Rivalry Disorder
F938,Other childhood emotional disorders
F939,Unspecified Childhood Emotional Disorder
F940,Elective mutism
F941,Reactive attachment disorder of childhood
F942,"Childhood fixation disorder, with disinhibition"
F948,Other disorders of social functioning in childhood
F949,Childhood social functioning disorder unspecified
F950,Transient tic
F951,Chronic motor or vocal tic
F952,Combined Multiple Vocal and Motor Tics [Gilles de la Tourette's Disease]
F958,Other tics
F959,Unspecified tick
F980,Enuresis of non-organic origin
F981,Encopresis of non-organic origin
F982,Childhood eating disorder
F983,Infant or child's cock
F984,Motor stereotypies
F985,Stuttering [tartamutez]
F986,Hasty language
F988,Other specified behavioral and emotional disorders usually onset in childhood or adolescence
F989,Unspecified behavioral and emotional disorders usually beginning in childhood or adolescence
F99,Mental disorder not elsewhere specified
G000,Haemophilus meningitis
G001,Pneumococcal meningitis
G002,Streptococcal meningitis
G003,Staphylococcal meningitis
G008,Other bacterial meningitis
G009,Unspecified bacterial meningitis
G01,Meningitis in bacterial diseases classified elsewhere
G020,Meningitis in viral diseases classified elsewhere
G021,Meningitis in mycoses
G028,Meningitis in other infectious and parasitic diseases elsewhere classified
G030,Non-pyogenic meningitis
G031,Chronic meningitis
G032,Benign recurrent meningitis [Mollaret]
G038,Meningitis due to other specified causes
G039,Meningitis unspecified
G040,Acute disseminated encephalitis
G041,Tropical spastic paraplegia
G042,Bacterial meningoencephalitis and meningomyelitis not elsewhere classified
G048,"Other encephalitis, myelitis, and encephalomyelitis"
G049,"Encephalitis, myelitis and encephalomyelitis unspecified"
G050,"Encephalitis, myelitis and encephalomyelitis in bacterial diseases elsewhere classified"
G051,"Encephalitis, myelitis and encephalomyelitis in viral diseases classified elsewhere"
G052,"Encephalitis, myelitis and encephalomyelitis in other infectious and parasitic diseases elsewhere classified"
G058,"Encephalitis, myelitis and encephalomyelitis in other diseases elsewhere classified"
G060,Intracranial abscess and granuloma
G061,Intraspinal abscess and granuloma
G062,Unspecified extradural and subdural abscess
G07,Intracranial and intraspinal abscess and granuloma in diseases classified elsewhere
G08,Intracranial and intraspinal phlebitis and thrombophlebitis
G09,Sequelae of inflammatory diseases of the central nervous system
G10,Huntington's disease
G110,Non-progressive congenital ataxia
G111,Early-onset cerebellar ataxia
G112,Late-onset cerebellar ataxia
G113,Cerebellar ataxia with deficit in DNA repair
G114,Hereditary spastic paraplegia
G118,Other hereditary ataxias
G119,Unspecified hereditary ataxia
G120,Infantile Spinal Muscular Atrophy Type I [Werdnig-Hoffman]
G121,Other inherited spinal muscular atrophies
G122,Motor neuron disease
G128,Other spinal muscular atrophies and related muscle syndromes
G129,Unspecified spinal muscular atrophy
G130,Paraneoplastic neuromyopathy and neuropathy
G131,Another systemic atrophy primarily affecting the central nervous system in neoplastic diseases
G132,Systemic atrophy primarily affecting the central nervous system in myxedema
G138,Systemic atrophy that primarily affects the central nervous system in other diseases classified elsewhere
G20,Parkinson's disease
G210,Neuroleptic malignant syndrome
G211,Other forms of drug-induced secondary parkinsonism
G212,secondary parkinsonism due to other external agents
G213,Post-encephalitic parkinsonism
G218,Other forms of secondary parkinsonism
G219,Secondary parkinsonism unspecified
G22,Parkinsonism in diseases classified elsewhere
G230,Hallervorden-Spatz disease
G231,Progressive supranuclear ophthalmoplegia [Steele-Richardson-Olszewski]
G232,Strionygric degeneration
G238,Other specified degenerative diseases of the basal ganglia
G239,"Degenerative basal ganglia disease, unspecified"
G240,Drug-induced dystonia
G241,Idiopathic familial dystonia
G242,Idiopathic nonfamilial dystonia
G243,Spasmodic torticollis
G244,Idiopathic orofacial dystonia
G245,Blepharospasm
G248,Other dystonias
G249,Unspecified dystonia
G250,Essential tremor
G251,Drug-induced tremor
G252,Other specified forms of tremor
G253,Myoclonus
G254,Drug-induced chorea
G255,Other forms of Korea
G256,Drug-induced tics and other types of organic origin
G258,"Other extrapyramidal diseases and movement disorders, specified"
G259,"Extrapyramidal diseases and movement disorders, unspecified"
G26,Extrapyramidal diseases and movement disorders in diseases classified elsewhere
G300,Early-onset Alzheimer's disease
G301,Late-onset Alzheimer's disease
G308,Other forms of Alzheimer's disease
G309,Unspecified Alzheimer's disease
G310,Circumscribed cerebral atrophy
G311,"Senile brain degeneration, not elsewhere classified"
G312,Degeneration of the nervous system due to alcohol
G318,Other specified degenerative diseases of the nervous system
G319,"Degenerative disease of the nervous system, unspecified"
G320,Subacute combined degeneration of the spinal cord in diseases classified elsewhere
G328,Other specified degenerative disorders of the nervous system in diseases classified elsewhere
G35,Multiple sclerosis
G360,Neuromyelitis optica [Devic's disease]
G361,Acute and Subacute Hemorrhagic Leukoencephalitis [Hurst]
G368,Other specified acute disseminated demyelinations
G369,Unspecified acute disseminated demyelination
G370,Diffuse sclerosis
G371,Central demyelination of the corpus callosum
G372,Central myelinolysis of the pons
G373,Acute transverse myelitis in central nervous system demyelinating diseases
G374,Subacute necrotic myelitis
G375,Concentric Sclerosis [Baló]
G378,Other specified demyelinating diseases of the central nervous system
G379,"Demyelinating disease of the central nervous system, unspecified"
G400,Epilepsy and idiopathic epileptic syndromes defined by their location (focal) (partial) with focal-onset seizures
G401,Epilepsy and symptomatic epileptic syndromes defined by their location (focal) (partial) with simple partial seizures
G402,Epilepsy and symptomatic epilepsy syndromes defined by their location (focal) (partial) with complex partial seizures
G403,Epilepsy and idiopathic generalized epileptic syndromes
G404,Other epilepsies and generalized epileptic syndromes
G405,Special epileptic syndromes
G406,"Major mal seizure, unspecified (with or without minor malfe)"
G407,"Unspecified petty evil, no big evil seizures"
G408,Other epilepsies
G409,"Epilepsy, unspecified"
G410,Status of grand mal epilepticus
G411,Status petitis epilepticus
G412,Complex partial status epilepticus
G418,Other status epilepticus
G419,"Status epilepticus, unspecified"
G430,#CONNECT!
G431,Migraine with aura [classic migraine]
G432,Migraine status
G433,Complicated migraine
G438,Other forms of migraine
G439,"Migraine, no specification"
G440,Cluster-headache syndrome
G441,"Vascular headache, not elsewhere classified"
G442,Tension headache
G443,Chronic post-traumatic headache
G444,"Drug-induced headache, not elsewhere classified"
G448,Other specified headache syndromes
G450,Vertebrobasilar artery syndrome
G451,Carotid artery syndrome (hemispheric)
G452,"Syndrome of precerebral arteries, multiple and bilateral"
G453,Amaurosis fugax
G454,Transient global amnesia
G458,Other transient ischemic strokes and related syndromes
G459,Transient cerebral ischemia unspecified
G460,Middle cerebral artery syndrome
G461,Anterior cerebral artery syndrome
G462,Posterior cerebral artery syndrome
G463,Vascular Syndromes of the Brain Stem
G464,Cerebellar vascular syndrome
G465,Pure motor lacunar syndrome
G466,Pure sensory lacunar syndrome
G467,Other lacunar syndromes
G468,Other Cerebral Vascular Syndromes in Cerebrovascular Diseases
G470,Sleep onset and maintenance disorders [insomnia]
G471,Sleep disorders due to excessive sleepiness [hypersomnia]
G472,Sleep-wake cycle disorders
G473,Sleep apnea
G474,Narcolepsy and cataplexy
G478,Other sleep disorders
G479,"Sleep disorder, unspecified"
G500,Trigeminal neuralgia
G501,Atypical facial pain
G508,Other trigeminal nerve disorders
G509,Unspecified trigeminal nerve disorder
G510,Bell's palsy
G511,Geniculate ganglionitis
G512,Melkersson Syndrome
G513,Clonic hemifacial spasm
G514,Facial myokymia
G518,Other facial nerve disorders
G519,Unspecified facial nerve disorder
G520,Olfactory nerve disorders
G521,Glossopharyngeal nerve disorders
G522,Vagus nerve disorders
G523,Hypoglossal nerve disorders
G527,Multiple cranial nerve disorders
G528,Other specified cranial nerve disorders
G529,Unspecified cranial nerve disorder
G530,Post-zoster neuralgia
G531,Multiple cranial nerve palsies in infectious and parasitic diseases elsewhere classified
G532,Multiple cranial nerve palsies in sarcoidosis
G533,Multiple cranial nerve palsies in neoplastic diseases
G538,Other cranial nerve disorders in other diseases classified elsewhere
G540,Brachial plexus disorders
G541,Lumbosacral plexus disorders
G542,Cervical root disorders not elsewhere classified
G543,Thoracic root disorders not elsewhere classified
G544,Lumbosacral root disorders not elsewhere classified
G545,Neuralgic amyotrophy
G546,Phantom limb pain syndrome
G547,Phantom limb syndrome without painful manifestation
G548,Other disorders of the roots and nerve plexuses
G549,Unspecified root and nerve plexus disorder
G550,Compressions of the roots and nerve plexuses in neoplastic diseases
G551,Compressions of the roots and nerve plexuses in intervertebral disc disorders
G552,Compressions of the roots and nerve plexuses in spondylosis
G553,Compressions of nerve roots and plexuses in other dorsopathies
G558,Compressions of the roots and nerve plexuses in other diseases classified elsewhere
G560,Carpal tunnel syndrome
G561,Other median nerve injuries
G562,Ulnar Nerve Injuries
G563,Radial nerve injury
G564,Causalgia
G568,Other upper limb mononeuropathies
G569,"Upper extremity mononeuropathy, unspecified"
G570,Sciatic nerve injury
G571,Meralgia paresthetica
G572,Femoral nerve injury
G573,Lateral popliteal nerve injury
G574,Medial popliteal nerve injury
G575,Tarsal tunnel syndrome
G576,Plantar nerve injury
G578,Other lower limb mononeuropathies
G579,"Mononeuropathy of the lower extremities, unspecified"
G580,Intercostal neuropathy
G587,Mononeuritis multiplex
G588,Other specified mononeuropathies
G589,Unspecified mononeuropathy
G590,Diabetic mononeuropathy
G598,Other mononeuropathies in diseases classified elsewhere
G600,Hereditary motor and sensory neuropathy
G601,Refsum Disease
G602,Neuropathy associated with hereditary ataxia
G603,Idiopathic progressive neuropathy
G608,Other hereditary and idiopathic neuropathies
G609,Hereditary and idiopathic neuropathy unspecified
G610,Guillain-Barré Syndrome
G611,Serum neuropathy
G618,Other inflammatory polyneuropathies
G619,Unspecified inflammatory polyneuropathy
G620,Drug-induced polyneuropathy
G621,Alcoholic polyneuropathy
G622,Polyneuropathy due to other toxic agents
G628,Other specified polyneuropathies
G629,Unspecified polyneuropathy
G630,Polyneuropathy in infectious and parasitic diseases elsewhere classified
G631,Polyneuropathy in neoplastic diseases
G632,Diabetic polyneuropathy
G633,Polyneuropathy in Other Endocrine and Metabolic Diseases
G634,Polyneuropathy in nutritional deficiencies
G635,Polyneuropathy in systemic connective tissue diseases
G636,Polyneuropathy in other musculoskeletal disorders
G638,Polyneuropathy in other diseases classified elsewhere
G64,Other peripheral nervous system disorders
G700,Myasthenia gravis
G701,Toxic myoneural disorders
G702,Congenital and developmental myasthenia
G708,Other specified myoneural disorders
G709,Unspecified myoneural disorder
G710,Muscular dystrophy
G711,Myotonic disorders
G712,Congenital myopathies
G713,Mitochondrial myopathy not elsewhere classified
G718,Other primary disorders of the muscles
G719,Unspecified primary muscular disorder
G720,Drug-induced myopathy
G721,Alcoholic myopathy
G722,Myopathy due to other toxic agents
G723,Periodic paralysis
G724,Inflammatory myopathy not elsewhere classified
G728,Other specified myopathies
G729,Unspecified myopathy
G730,Myasthenic syndromes in endocrine diseases
G731,Eaton-Lambert Syndrome
G732,Other myasthenic syndromes in neoplastic diseases
G733,Myasthenic syndromes in other diseases classified elsewhere
G734,Myopathy in infectious and parasitic diseases classified elsewhere
G735,Myopathy in endocrine diseases
G736,Myopathy in metabolic diseases
G737,Myopathy in other diseases classified elsewhere
G800,Spastic quadriplagic cerebral palsy
G801,Spastic diplegic cerebral palsy
G802,Spastic hemiplegic cerebral palsy
G803,Dyskinetic cerebral palsy
G804,Ataxic cerebral palsy
G808,Other forms of cerebral palsy
G809,Unspecified cerebral palsy
G810,Flaccid hemiplegia
G811,Spastic hemiplegia
G819,Hemiplegia unspecified
G820,Flaccid paraplegia
G821,Spastic paraplegia
G822,Paraplegia unspecified
G823,Flaccid quadriplegia
G824,Spastic tetraplegia
G825,Unspecified quadriplegia
G830,Upper limb diplegia
G831,Lower limb monoplegia
G832,Upper limb monoplegia
G833,Unspecified monoplegia
G834,Cauda equina syndrome
G838,Other specified paralytic syndromes
G839,Unspecified paralytic syndrome
G900,Idiopathic peripheral autonomic neuropathy
G901,Familial dysautonomia [Riley-Day Syndrome]
G902,Horner's Syndrome
G903,Multisystem degeneration
G904,Autonomic dysreflexia
G908,Other disorders of the autonomic nervous system
G909,Unspecified autonomic nervous system disorder
G910,Communicating hydrocephalus
G911,Obstructive hydrocephalus
G912,Normal Pressure Hydrocephalus
G913,Post-traumatic hydrocephalus not specified
G918,Other forms of hydrocephalus
G919,Hydrocephalus unspecified
G92,Toxic encephalopathy
G930,Brain cysts
G931,"Anoxic brain injury, not elsewhere classified"
G932,Benign intracranial hypertension
G933,Post-viral fatigue syndrome
G934,Unspecified encephalopathy
G935,Brain compression
G936,Cerebral edema
G937,Reye's Syndrome
G938,Other specified brain disorders
G939,Unspecified brain disorder
G940,Hydrocephalus in infectious and parasitic diseases elsewhere classified
G941,Hydrocephalus in neoplastic diseases
G942,Hydrocephalus in other diseases classified elsewhere
G948,Other brain disorders specified in diseases classified elsewhere
G950,Syringomyelia and Syringobulbia
G951,Vascular myelopathies
G952,Unspecified spinal cord compression
G958,Other specified spinal cord diseases
G959,Unspecified Spinal Cord Disease
G960,CSF fistula
G961,Meningal disorders not elsewhere classified
G968,Other specified central nervous system disorders
G969,Unspecified central nervous system disorder
G970,CSF loss resulting from spinal puncture
G971,Another reaction to spinal and lumbar puncture
G972,Intracranial hypotension consequent to ventricular shunt
G978,Other post-procedure disorders of the nervous system
G979,"Post-procedure nervous system disorder, unspecified"
G98,Other disorders of the nervous system not elsewhere classified
G990,Autonomic neuropathy in endocrine and metabolic diseases
G991,Other disorders of the autonomic nervous system in diseases classified elsewhere
G992,Myelopathy in diseases classified elsewhere
G998,Other specified nervous system disorders in diseases classified elsewhere
H000,Hordeolum and other deep inflammations of the eyelids
H001,Chalazion
H010,Blepharitis
H011,Non-infectious dermatoses of the eyelid
H018,Other specified eyelid inflammations
