CODIGO,TITULO
322210,Intensive Care Nursing Technician
322215,Occupational Nursing Technician
322220,Psychiatric Nursing Technician
322225,Surgical Instrumentator
322230,Nursing assistant
322235,Occupational Nursing Assistant
322240,Health assistant (maritime navigation)
322245,Family Health Strategy Nursing Technician
322250,Family Health Strategy Nursing Assistant
322255,Community Health Agent Technician
322305,Optics and Optometry Technician
322405,Oral Health Technician
322410,Dental prosthetic
322415,Oral health assistant
322420,Dental Assistant
322425,Oral Health Technician of the Family Health Strategy
322430,Oral health assistant of the family health strategy
322505,Orthopedics Technician
322605,Orthopaedic immobilisation technician
323105,Livestock technician
324105,Technician in electrographic methods in encephalography
324110,Graphic Methods Technician in Cardiology
324115,Radiology and Imaging Technician
324120,Radiology Technologist
324125,Ophthalmic technologist
324130,Spirometry Technician
324135,Polysomnography Technician
324140,Clinical dosimetrist
324205,Clinical Pathology Technician
324215,Cytotechnical
324220,Hemotherapy Technician
325005,Winemaker
325010,Aromaist
325015,Perfumer
325105,Pharmacy Laboratory Technical Assistant
325110,Pharmacy Laboratory Technician
325115,Pharmacy Technician
325205,Food Technician
325210,Nutrition and Dietetics Technician
325305,Biotechnology Technician
325310,Immunobiological Technician
328105,Embalmer
328110,Taxidermist
331105,High school teacher in early childhood education
331110,Child Development Assistant
331205,Elementary school teacher
331305,High School Teacher in Vocational Education
332105,Lay teacher in elementary school
332205,Practical teacher in vocational education
333105,Driving School Instructor
333110,Instructor of free courses
333115,Teachers of free courses
334105,Private School Student Inspector
334110,Public School Student Inspector
334115,School transport monitor
341105,Commercial pilot (except airlines)
341110,Commercial helicopter pilot (except airlines)
341115,Flight mechanic
341120,Agricultural pilot
341205,Cabotage boatswain
341210,Cabotage master
341215,River Master
341220,Deep Sea Fishing Boss
341225,Inland waterway fishing boss
341230,River Pilot
341235,Nautical Signaling Technician
341240,Deck equipment maneuvering technicians
341245,Naval Signals Technician
341250,Technical assistant of nautical signaling
341305,Driver Driver River Driver
341310,Machine Driver
341315,On-board electrician
341320,Machine driver (pumper)
341325,Machine Driver (Mechanic)
342105,Transportation Analyst in Foreign Trade
342110,Multimodal transport operator
342115,Machinery and Vehicle Service Controller
342120,Charterer
342125,Transport Logistics Technologist
342205,Customs Broker Assistant
342210,Customs broker
342215,Customs Clearance Analyst
342305,Head of Road Transport Service (Passengers and Freight)
342310,Road transport services inspector (passengers and cargo)
342315,Loading and unloading supervisor
342405,Station Agent (Railway and Metro)
342410,Control Center Operator (Rail and Subway)
342505,Air Traffic Controller
342510,Flight Operational Dispatcher
342515,Civil Aviation Inspector (FAC)
342530,Civil Aviation Inspector
342535,Airline service operator
342540,Airport Administration Supervisor
342545,Airline Supervisor at Airports
342550,Civil Aviation Protection Officer
342555,Airport runway inspector
342560,Ramp operator (air transport)
342605,Port Station Master
342610,Port Operations Supervisor
351105,Accounting Technician
351110,Head of Accounting (Technical)
351115,Accounting consultant (technical)
351305,Administration Technician
351310,Technician in foreign trade administration
351315,Recruitment and selection agent
351405,Clerk
351410,Court clerk
351415,Extra-judicial clerk
351420,Police clerk
351425,Bailiff
351430,Legal Services Assistant
351435,Conflict mediator
351440,Extrajudicial arbitrator
351505,Secretarial Technician
351510,Stenographer
351515,Stenotypist
351605,Occupational Safety Technician
351610,Occupational Hygiene Technician
351705,Insurance Analyst (Technician)
351710,Claims Analyst
351715,Insurance Commercial Assistant
351720,Insurance Technical Assistant
351725,Risk inspector
351730,Claims Inspector
351735,Reinsurance Technician
351740,Insurance Technician
351805,Professional detective
351810,Police Investigator
351815,Police papilloscopist
351905,Intelligence agent
351910,Technical Intelligence Agent
352205,Environmental defense agent
352210,Public Health Worker
352305,Metrologist
352310,Quality Fiscal Agent
352315,Metrological Fiscal Agent
352320,Textile tax agent
352405,Copyright Agent
352410,Media Product Evaluator
352420,Copyright Technician
353205,Banking Operations and Services Technician - Foreign Exchange
353210,Banking Operations and Services Technician - Real Estate Credit
353215,Banking Operations and Services Technician - Rural Credit
353220,Banking Operations and Services Technician - Leasing
353225,Banking Operations and Services Technician - Fixed and Variable Income
353230,Bank Treasurer
353235,Head of Banking
354120,Service Sales Agent
354125,Sales Assistant
354130,Specialized sales promoter
354135,Sales Technician
354140,Customer Service and Sales Technician
354145,Practical salesman
354150,Pharmaceutical Products Salesperson
354205,Buyer
354210,Purchasing Supervisor
354305,Export and Import Analyst
354405,Auctioneer
354410,Real Estate Appraiser
354415,Movable property appraiser
354505,Insurance broker
354605,Real Estate Broker
354610,Grain broker
354705,Self-employed sales representative
354805,Tourism Technician
354810,Tour operator
354815,Travel Agent
354820,Event Organizer
354825,Ceremonial
371105,Library Helper
371110,Library Science Technician
371205,Stamp and coin collector
371210,Museology Technician
371305,Visual Programming Technician
371310,Graphic technician
371405,Cantonment recreation
371410,Recreation
372105,Cinematographer
372110,Illuminator (television)
372115,Television Camera Operator
372205,Teleprocessing network operator
372210,Radiotelegraphist
373105,Audiovisual Media Operator
373130,Audiovisual Systems Technician
373135,Master Control Operator
373140,Programming Coordinator
373145,Audiovisual Operations Assistant
373220,Technical Operational Supervisor of Television Systems and Video Production Companies
373225,Operations Supervisor (Audiovisual Media)
373230,Technical Supervisor (Audiovisual Media)
374105,Audio Recording Technician
374110,Audio Equipment Installation Technician
374115,Audio Mastering Technician
374120,Sound Designer
374125,Sound technician
374130,Audio Mixing Technician
374135,Audio System Designer
374140,Microphone player
374145,Dj (disc jockey)
374150,Sound designer
374155,Music Analyst
374205,"Scenotechnics (cinema, video, television, theater and shows)"
374210,Film and video machinist
374215,Theatre and show driver
374305,Cinematic Projector Operator
374310,Cinematic projector operator-maintainer
374405,Audiovisual Media Editor
374410,Film Finisher
374415,Video Finisher
374420,Film editor
374425,Image Director (tv)
375105,Interior designer
375110,Window Designer
375115,Visual merchandiser
375120,Event Decorator
375125,Fashion Producer
375130,Personal organizer
376105,Traditional dancer
376110,Popular dancer
376205,Acrobat
376210,Aerial Artist
376215,Circus performer (others)
376220,Contortionist
376225,Animal tamer (circus)
376230,Wirewalker
376235,Magical
376240,Juggler
376245,Clown
376250,Puppeteer
376255,Trapeze artist
376305,Event Presenter
376310,Presenter of popular festivals
376315,Radio Show Host
376320,Television show host
376325,Circus presenter
376330,Master of ceremonies
376405,Artistic template
376410,Fashion model
376415,Advertising Template
377105,Professional athlete (other sports)
377110,Professional soccer athlete
377115,Professional Golf Athlete
377120,Professional Wrestling Athlete
377125,Professional Tennis Athlete
377130,Jockey
377135,Automobile competition driver
377140,Athletics Professional
377145,Boxer
377205,Sports referee
377210,Athletics Referee
377215,Basketball referee
377220,Football referee
377225,Indoor soccer referee
377230,Judo referee
377235,Karate Referee
377240,Water polo referee
377245,Volleyball referee
391105,Chronoanalyst
391110,Timekeeper
391115,Input and output controller
391120,Planner
391125,Production Planning Technician
391130,Maintenance planning and scheduling technician
391135,Raw Material & Material Technician
391140,Maintenance Analyst (Aerial Equipment)
391145,Maintenance Planning Analyst
391205,Quality Inspector
391210,Quality Assurance Technician
391215,Quality Inspection Operator
391220,Control Panel Technician
391225,Paper Picker
391230,Postal Services Operational Technician
395105,Research and development support technician (except agricultural and forestry)
395110,Support Technician in Agricultural Research and Development of Forestry
410105,Administrative Supervisor
410205,Warehouse Supervisor
410210,Foreign Exchange Supervisor
410215,Accounts Payable Supervisor
410220,Asset Control Supervisor
410225,Credit and collection supervisor
410230,Budget Supervisor
410235,Treasury Supervisor
410240,Logistics Supervisor
411005,Office Assistant
411010,Administrative Assistant
411015,Judiciary clerk
411020,Judicial Assistant
411025,Notary assistant
411030,Personnel Assistant
411035,Statistical Assistant
411040,Insurance Assistant
411045,Import and export services assistant
411050,Microcredit Agent
411055,Fundraiser
412105,Typist
412110,Digitizer
412115,Telecommunications Message Operator (Post Office)
412120,Typing and Operation Supervisor
412205,Continuous
413105,Payroll Analyst
413110,Accounting Assistant
413115,Billing Assistant
413205,Branch Attendant
413210,Bank Teller
413215,Bank Clearer
413220,Banking Services Checker
413225,Bank clerk
413230,Bank collection operator
414105,Storekeeper
414110,Storer
414115,Rocker Arm
414120,Merchandise checker (except loading and unloading)
414125,Stockist
414135,Freight Shipper
414140,Logistics Assistant
414205,Workmanship sharpener
414210,Production Sharpener
414215,Loading and unloading checker
415105,Document Archivist
415115,Data encoder
415120,Plant Library
415125,Kardexist
415130,Copying machine operator (except fast printing operator)
415205,Postman
415210,Sorting and transshipment operator
415215,Literature delivery man
415305,Cancer Registrar
415310,Health Information Analyst
420105,Supervisor of cashiers and ticket agents (except bank teller)
420110,Billing Supervisor
420115,Bet Collectors and Gaming Supervisor
420120,Supervisor of interviewers and enumerators
420125,Receptionist Supervisor
420130,Telephone Operator Supervisor
420135,Telemarketing and Customer Service Supervisor
421105,Commercial clerk (post office)
421110,Public transport ticket office
421115,Ticket office at the amusement service
421120,Ticket issuer
421125,Cashier
421205,Ticket Taker (Lottery)
421210,Bet taker (turf)
421305,External collector
421310,Internal collector
421315,Locator (collector)
422105,"Receptionist, in general"
422110,Medical or dental office receptionist
422115,Health Insurance Receptionist
422120,Hotel receptionist
422125,Bank receptionist
422130,Concierge
422205,Operator
422210,Teleagent
422220,Radio Call Operator
422305,Active telemarketer
422310,Active and receptive telemarketer
422315,Receptive Telemarketer
422320,Technical Telemarketer
422330,Emergency teleattendant
422335,Teleservice Monitor
423105,Documentalist dispatcher
423110,Transit Broker
423115,Vehicle inspector
424105,Census and sample survey interviewer
424110,Opinion poll and media interviewer
424115,Market Research Interviewer
424120,Price Interviewer
424125,Clerk in statistics
424130,Social Interviewer
424205,"Exam coordinator (competition, evaluation, exam)"
424210,"Test applicator (competition, evaluation, exam)"
510105,Transportation Supervisor
510110,Building Manager
510115,Floor supervisor
510120,Hotel concierge
510130,Head bartender
510135,Maître d'
510205,Laundry Supervisor
510305,Fire Supervisor
510310,Security Supervisor
511105,Flight attendant
511110,Train Steward
511115,Quartermaster (except military)
511205,Public transport inspector (except train)
511210,Public transport dispatcher (except train)
511215,Public transport collector (except train)
511220,"Ticket office (subway, railway and similar stations)"
511405,Tour guide
511505,Adventure Tour Driver
511510,Fishing Tour Driver
511515,Nautical tour driver
512105,Domestic employee in general services
512110,Housekeeper
512115,Domestic Cleaner Employee
512120,Daily Domestic Servant
513105,Residence Butler
513110,Hotel Butler
513115,Hotel housekeeper
513205,General cook
513210,Domestic service cook
513215,Industrial cook
513220,Hospital cook
513225,Boat cook
513305,Theatre valet
513310,Television Chamberlain
513315,Hotel Maid
513320,Boat Valet
513325,Cinema wardrobe
513405,Waiter
513410,Sommelier
513415,Summit
513420,Bartender
513425,Butler
513430,Hospital cupbearer
513435,Cafeteria attendant
513440,Barista
513505,Assist with food service
513605,Barbecue
513610,Pizzaiolo
513615,Sushiman
514105,Elevator
514110,Garage Owner
514115,Sacristan
514120,Building caretaker
514205,Household garbage collector
514215,Street Sweeper
514225,Worker in cleaning and conservation services of public areas
514230,Healthcare Solid Waste Collector
514305,Glass cleaner
514310,Building maintenance assistant
514315,Facade cleaner
514320,Janitor
514325,Building maintenance worker
514330,Pool cleaner
515105,Community health worker
515110,Nursing Attendant
515115,Lay midwife
515120,Sanitary visitor
515125,Indigenous health agent
515130,Indigenous sanitation agent
515135,First Aider (except doctors and nurses)
515140,Endemic disease control agent
515205,Blood Bank Assistant
515210,Compounding pharmacy assistant
515215,Clinical Analysis Laboratory Assistant
515220,Immunobiological laboratory assistant
515225,Pharmaceutical Production Assistant
515305,Social educator
515310,Social action agent
515315,Drug addict monitor
515320,Guardianship counselor
515325,Socio-educator
515330,Prison rehabilitation monitor
516105,Barber
516110,Hairdresser
516120,Manicure/pedicure
516125,Makeup artist
516130,Characterization Makeup Artist
516145,Nail Designer
516150,Eyebrow designer
516155,Eyelash designer
516205,Babysitter
516210,Caregiver for the elderly
516215,Social mother
516220,Health caregiver
516305,"Laundromat, in general"
516310,Machine Washing Machine
516315,Tapestry Washer
516320,"Dry cleaner, machine"
516325,General clothes ironer
516330,Garment Dyeer
516335,Clothing Inspector-Dispatcher (Laundromats)
516340,Laundry attendant
516345,Laundry assistant
516405,Washing machine
516410,"Dry laundry cleaner, by hand"
516415,"Ironer, by hand"
516505,Undertaker
516605,Furnace operator (funeral services)
516610,Burial
516705,Astrologer
516710,Numerologist
516805,Esoteric
516810,Paranormal
516905,Tattoo artist
516910,Micropigmentation
516915,Body piercer
517105,Aerodrome firefighter
517110,Civil firefighter
517115,Lifeguard
517120,Forest firefighter
517125,Brigade chief
517130,Civil protection and defense agent
517205,Federal police agent
517210,Federal highway police officer
517215,Municipal Civil Guard
517220,Traffic Agent
517225,Legislative police officer
517230,Criminal police officer
517235,Port guard
517305,Airport Security Guard
517310,Security Officer
517320,Forest watchman
517325,Port watchman
517330,Watchful
517405,Concierge (hotel)
517410,Building doorman
517415,Concierge Agent
517420,Porthole
517425,Store Inspector
519105,Messenger cyclist
519110,Motorcycle courier
519115,Motorcycle taxi driver
519205,Recyclable material collector
519210,Recyclable material picker
519215,Recyclable material press operator
519305,Veterinary Assistant
519310,Pet Esthetician
519315,Pet bather
519320,Pet groomer
519805,Sex worker
519905,Poster
519910,Pest Controller
519915,Shoeshine
519920,Gandula
519925,Vehicle Guard
519930,"Washer of bottles, glasses and other utensils"
519935,Vehicle Washer
519940,Reader
519945,Receptionist of concert halls
520105,Service Sales Supervisor
520110,Commercial Sales Supervisor
521105,Salesperson in wholesale trade
521110,Retail Salesperson
521115,Sales Promoter
521120,Merchandise Demonstrator
521125,Merchandise replenisher
521130,Pharmacy clerk
521135,Attendant
521140,Store and market attendant
523105,"Installer of curtains and blinds, folding doors and shower"
523110,Sound and Vehicle Accessories Installer
523115,Keychain
523120,Self Adhesive Vinyl Applicator
523125,Vehicle Identification Plate Stamper (epiv)
524105,Home Seller
524205,Marketer
524210,Newsboy (at newsstand)
524215,Permit seller
524305,Peddler
524310,Walking popcorn maker
524315,Baiana de acarajé
611005,"Agricultural producers, in general"
612005,Multipurpose agricultural producer
612105,Rice producer
612110,Sugarcane producer
612115,Winter cereal producer
612120,Producer of forage grasses
612125,Corn and sorghum producer
612205,Cotton producer
612210,Producer of curauá
612215,Jute producer
612220,Ramie Producer
612225,Sisal producer
612305,Producer in vegetable vegetable growing
612310,"Producer in root, bulb and tuber olericulture"
612315,"Producer in the vegetable growing of stalks, leaves and flowers"
612320,Producer in fruit and seed olericulture
612405,Cut flower grower
612410,Potted flower grower
612415,Forage producer
612420,Ornamental Plant Producer
612505,Fruit tree grower
612510,Producer of creeping fruit species
612515,Producer of climbing fruit species
612605,Coffee grower
612610,Cocoa producer
612615,Yerba mate producer
612620,Tobacco producer
612625,Guarana producer
612705,Peanut crop producer
612710,Canola crop producer
612715,Producer of the coconut crop
612720,Oil palm producer
612725,Sunflower crop producer
612730,Flax Producer
612735,Castor bean crop producer
612740,Soybean crop producer
612805,Spice producer
612810,Producer of aromatic and medicinal plants
613005,Multipurpose livestock breeder
613010,Pet Breeder
613105,Donkey and mule breeder
613110,Cattle breeder (beef)
613115,Cattle breeder (milk)
613120,Buffalo breeder (cut)
613125,Buffalo (milk) breeder
613130,Equine Breeder
613205,Goat breeder
613210,Sheep farmer
613215,Pig farmer
613305,Poultry Farmer
613310,Rabbit Farmer
613405,Beekeeper
613410,Breeder of poison-producing animals
613415,Fish Farmer
613420,Sericulturist
620105,Farm Supervisor
620110,Farm Supervisor
620115,Livestock Farm Supervisor
621005,Agricultural worker in general
622005,Homemade (agriculture)
622010,Gardener
622015,Worker in the production of seedlings and seeds
622020,Agricultural mobile worker
622105,Rice Farm Worker
622110,Sugarcane Worker
622115,Corn and sorghum crop worker
622120,"Wheat, oat, barley and triticale crop worker"
622205,Cotton Farming Worker
622210,Sisal crop worker
622215,Ramie culture worker
622305,Worker in olericulture (fruits and seeds)
622310,Worker in olericulture (vegetables)
622315,"Worker in olericulture (roots, bulbs and tubers)"
622320,"Worker in olericulture (stalks, leaves and flowers)"
622405,Worker in the cultivation of cut flowers and foliage
622410,Worker in the cultivation of flowers in a pot
622415,Worker in the cultivation of fodder
622420,Worker in the cultivation of seedlings
622425,Worker in the cultivation of ornamental plants
622505,Worker in the cultivation of fruit trees
622510,Worker in the cultivation of creeping fruit species
622515,Worker in the cultivation of fruit vines
622605,Cocoa Farming Worker
622610,Coffee Culture Worker
622615,Yerba mate crop worker
622620,Tobacco Culture Worker
622625,Guarana Culture Worker
622705,Peanut Crop Worker
622710,Worker in canola culture
622715,Worker in the coconut culture
622720,Worker in oil palm cultivation
622725,Worker in castor bean cultivation
622730,Soybean Worker
622735,Worker in sunflower farming
622740,Worker in flax farming
622805,Spice Farming Worker
622810,Worker in the cultivation of aromatic and medicinal plants
623005,Animal trainer
623010,Inseminator
623015,Multipurpose livestock worker
623020,Animal handler
623025,Animal hoofing
623030,Animal farrier
623105,Livestock worker (donkeys and mules)
623110,Livestock worker (beef cattle)
623115,Livestock worker (dairy cattle)
623120,Livestock worker (buffaloes)
623125,Livestock worker (horses)
623205,Goat farming worker
623210,Sheep farming worker
623215,Pig farming worker
623305,Poultry Worker Meat
623310,Laying poultry worker
623315,Incubator operator
623320,Rabbit farming worker
623325,Sexer
623405,Worker in breeding facilities for poison-producing animals
623410,Beekeeping worker
623415,Worker in worm farming
623420,Worker in sericulture
630105,Aquaculture Supervisor
630110,Forestry Area Supervisor
631005,Crab and crab picker
631010,Shellfish picker
631015,Artisanal Lobster Fisherman
631020,Artisanal fisherman of fish and shrimp
631105,Artisanal freshwater fisherman
631205,Industrial Fisherman
631210,Professional fisherman
631305,Shrimp Farmer
631310,Alligator Breeder
631315,Mussel Breeder
631320,Oyster Breeder
631325,Fish Farmer
631330,Turtle breeder
631335,Frog Breeder
631405,Industrial Chiller
631410,Professional Ice Cream
631415,Bowman
631420,Netnet (fishing)
632005,Forest guide
632010,Raizeiro
632015,Forestry nurseryman
632105,Log Sorter
632110,Wooden Cubator
632115,Forest identifier
632120,Chainsaw Operator
632125,"Forest extraction worker, in general"
632205,Rubber tapper
632210,Worker on the farm of non-elastic gum-producing species
632215,Resin Farm Worker
632305,Andiroba farm worker
632310,Babassu farm worker
632315,Bacaba farm worker
632320,Buriti farm worker
632325,Carnauba farm worker
632330,Coconut farm worker
632335,Worker at the copaiba farm
632340,Mallow farm worker (pãina)
632345,Murumuru farm worker
632350,Oiticica farm worker
632355,Ouricuri farm worker
632360,Pequi farm worker
632365,Piassava farm worker
632370,Tucum farm worker
632405,Açaí farm worker
632410,Chestnut farm worker
632415,Pine nut farm worker
632420,Peach palm farm worker
632505,"Worker in the exploitation of trees and shrubs producing aromatic substances, Medic. And toxic"
632510,"Worker in the exploitation of vines producing aromatic, medicinal and toxic substances"
632515,Tanning timber worker
632520,"Worker in the exploitation of roots producing aromatic, medicinal and toxic substances"
632525,"Worker in the extraction of aromatic, medicinal and toxic substances, in general"
632605,Carvoeiro
632610,Carbonizer
632615,Charcoal Shop Helper
641005,Harvester Operator
641010,Agricultural product processing machine operator
641015,Agricultural tractor driver
642005,Forest harvester operator
642010,Static Forest Machine Operator
642015,Forwarder Operator
643005,Worker in the operation of a localized irrigation system (micro-sprinkler and drip)
643010,Worker in the operation of sprinkler irrigation system (center pivot)
643015,Worker in the operation of conventional sprinkler irrigation systems
643020,Worker in the operation of irrigation and sprinkler systems (high propelled)
643025,Worker in the operation of surface irrigation and drainage systems
710105,Mining Operational Support Supervisor
710110,Salt Extraction Supervisor
710115,Drilling and blasting supervisor
710120,Production Supervisor at Mining
710125,Transport Supervisor in Mining
710205,Master (Civil Construction)
710210,Railroad Master
710215,Earthmoving Inspector
710220,Concrete Plant Supervisor
710225,Concrete Plant Yard Inspector
711105,Ore sampler
711110,Bed
711115,Stone Breaker
711120,Detonator
711125,Mine Shorer
711130,Miner
711205,Truck Operator (Mines & Quarries)
711210,Loader Operator
711215,Cutter machine operator (mines and quarries)
711220,Continuous Extraction Machine Operator (Coal Mines)
711225,Drilling machine operator (mines and quarries)
711230,Drilling Machine Operator
711235,Grader operator (extraction of solid minerals)
711240,Schutthecar operator
711245,Tractor Operator (Mines & Quarries)
711305,Percussion Probe Operator
711310,Rotary probe operator
711315,Driller (oil and gas wells)
711320,Well driller (except oil and gas)
711325,Platformist (oil)
711330,Torrista (oil)
711405,Gold digger
711410,Salt Plant Operator (Sea Salt)
712105,Ore miller
712110,Flotation Apparatus Operator
712115,Precipitation apparatus operator (gold or silver mines)
712120,Jaw Crusher Operator
712125,Thickener operator
712130,Jig Operator (Mines)
712135,Hydraulic sieve operator
712205,Stone cutter
712210,Engraver of inscriptions in stone
712215,Embossing in stone
712220,Stone polisher
712225,Turner (stone mining)
712230,Stone Tracer
715105,Pile Driver Operator
715110,Soil compactor operator
715115,Excavator Operator
715120,Trenching machine operator
715125,Construction and mining machinery operator
715130,Motor Grader Operator
715135,Loader Operator
715140,"Paver operator (asphalt, concrete and similar materials)"
715145,Blade Tractor Operator
715205,Shoemaker
715210,Mason
715215,Mason (industrial chimneys)
715220,Mason (refractory material)
715225,Bricklayer (mining)
715230,Building Mason
715305,Concrete Structure Rigger
715310,Specimen Moulder in Concrete Plants
715315,Reinforced concrete structure erector
715405,Concrete mixer operator
715410,Concrete Pump Operator
715415,Concrete Batching Plant Operator
715420,Asphalt Plant Operator
715505,Carpenter
715510,Carpenter (frames)
715515,Carpenter (scenarios)
715520,Carpenter (mining)
715525,Construction carpenter
715530,Carpenter (roofs)
715535,Concrete formwork carpenter
715540,"Carpenter of civil works of art (bridges, tunnels, dams)"
715545,Scaffolding erector (buildings)
715605,Installation Electrician (Scenarios)
715610,Installation Electrician (Buildings)
715615,Installation Electrician
715705,Waterproofing asphalt applicator (roofing)
715710,Acoustic insulation installer
715715,Installer of thermal insulation (refrigeration and air conditioning)
715720,Boiler and pipe thermal insulation installer
715725,"Insulating material installer, by hand (buildings)"
715730,"Insulating material installer, machine (buildings)"
716105,Concrete surface finisher
716110,Concrete surface coater
716205,Roofer (clay tiles and similar materials)
716210,Roofer (asbestos-cement tiles)
716215,Roofer (metal tiles)
716220,Roofer (plastic tiles)
716305,Glazier
716310,Glazier (buildings)
716315,Glazier (stained glass)
716405,Plasterer
716505,Floor
716510,Ceramic tile installer
716515,Pastilheiro
716520,Floor polish
716525,Marmorista (construction)
716530,Mosaist
716535,Tack
716540,Coating grout
716605,Caulk
716610,Construction Painter
716615,"Interior coater (paper, plastic and rubberized)"
717005,Building demolisher
717010,Hammer operator
717015,Poceiro (buildings)
717020,Construction worker
717025,Vibrator
720105,Master (Tool Sharpener)
720110,Boiler master
720115,Tooling master
720120,Forge Master
720125,Casting Master
720130,Master of electroplating
720135,Master Painting (Surface Treatment)
720140,Welding Master
720145,Metal drawing master
720150,Master Machining
720155,Master locksmith
720160,Heat Treatment Control Supervisor
720205,Master (shipbuilding)
720210,Master (Automotive and Transport Material Industry)
720215,Master (machinery and other mechanical equipment industry)
720220,Furnace construction master
721105,Toolmaker
721110,"Toolmaker of spindles, calibrators and other devices"
721115,Metal Shaper (Foundry)
721205,EDM machine operator
721210,Machine tool operator
721215,Conventional machine tool operator
721220,Conventional Abrasion Machining Operator
721225,Machine tool preparer
721305,Card sharpener
721310,Cutlery sharpener
721315,Tool sharpener
721320,Saw sharpener
721325,Metal polisher
721405,Numerical control machining center operator
721410,Milling machine operator with numerical control
721415,Boring machine operator with numerical control
721420,"Electrical discharge machine operator, wire, numerically controlled"
721425,Numerically controlled grinding machine operator
721430,Numerically controlled lathe operator
722105,Forger
722110,Hammer forger
722115,Forging presista
722205,Metal Smelter
722210,Casting Operator
722215,Casting Finishing Operator
722220,Casting Machine Operator
722230,Leak operator
722235,Pot Maker
722305,"Macheiro, the hand"
722310,"Macheiro, the machine"
722315,"Moulder, by hand"
722320,"Moulder, machine"
722325,Sand preparation equipment operator
722330,Automated Molding Machine Operator
722405,Cabler
722410,Seamless Metal Pipe Drawing Machine
722415,"Wire drawing machine, machine-powered"
723105,Metal carburizing machine
723110,Metal and composite normalizer
723115,Cooling Equipment Operator
723120,Metal Heat Treatment Furnace Operator
723125,Metal and composite tempering machine
723205,Stripper
723210,Phosphatizer
723215,Galvanizer
723220,Gun metalizer
723225,Metalizer (hot bath)
723230,Wire Coating Machine Operator
723235,Zinc plating operator (electrolytic process)
723240,Oxidizer
723305,Paint Drying Equipment Operator
723310,Brush and roller painter (except metal works and structures)
723315,Painter of metal structures
723320,Vehicle painter (manufacturing)
723325,Immersion painter
723330,"Painter, pistol (except metal works and structures)"
724105,Plumbing Layer (Buildings)
724110,Plumber
724115,Piping installer
724120,Piping installer (aircraft)
724125,Piping installer (vessels)
724130,Fuel gas pipe installer (production and distribution)
724135,Steam piping installer (production and distribution)
724205,Assembler of metal structures
724210,Assembler of metal structures of vessels
724215,Pneumatic hammer riveter
724220,Metal structure preparer
724225,Scraping of metal structures
724230,"Riveter, by hand"
724305,Brazier
724310,Hand Oxycutter and Machine
724315,Welder
724320,Oxygas welder
724325,Electric Welder
724405,Boilermaker (copper plates)
724410,Boilermaker (iron and steel plates)
724415,Plater
724420,Metal body plater (fabrication)
724425,Marine Plating
724430,Aircraft Plater
724435,Industrial tinker
724440,Locksmith
724505,Plate Bending Machine Operator
724510,Sheet metal bending machine operator
724515,Prensista (press operator)
724605,Wire rope loop operator
724610,Wire rope braider
725005,Toolmaker adjuster
725010,Mechanical adjuster
725015,Mechanical adjuster (bench and machine tool machining)
725020,Benchtop mechanical adjuster
725025,Marine Adjuster (Repair & Construction)
725030,Fire extinguisher maintenance and refill operator
725105,"Assembler of machines, motors and accessories (series assembly)"
725205,Machine Assembler
725210,Printing machine assembler
725215,Assembler of wood machine tools
725220,Textile machine assembler
725225,Machine tool assembler (metal machining)
725305,Lifting equipment assembler
725310,Agricultural machinery assembler
725315,Mining and quarrying machine assembler
725320,Earthmoving machine assembler
725405,Aircraft engine assembler mechanic
725410,Mechanic assembler of boat engines
725415,Mechanical assembler of explosion and diesel engines
725420,Turbocharger assembler mechanic
725505,Vehicle assembler (assembly line)
725510,Assembly Team Operator
725605,Aircraft Structure Assembler
725610,Aircraft fuel system assembler
725705,Mechanical Refrigeration
730105,Supervisor of assembly and installation of electrical and electronic
731105,Electronic equipment assembler (medical devices)
731110,Electronic equipment assembler (computers and auxiliary equipment)
731115,Electrical equipment assembler (measuring instruments)
731120,Electrical equipment assembler (household appliances)
731125,Electrical equipment assembler (power plants)
731130,Electrical equipment assembler (motors and dynamos)
731135,Electrical equipment assembler
731140,Electronic equipment assembler (signage installations)
731145,Electronic equipment assembler (industrial machines)
731150,Electronic equipment assembler
731155,Electrical equipment assembler (elevators and similar equipment)
731160,Electrical equipment assembler (transformers)
731165,"Electrician winder, by hand"
731170,"Electrician, machine winder"
731175,Assembly line operator (electrical appliances)
731180,Assembly Line Operator (Electronic Appliances)
731205,"Assembler of electronic equipment (radio station, tv and radar equipment)"
731305,Installer-repairer of telephony switching equipment
731310,Installer-repairer of power equipment in telephony
731315,Installer-repairer of telephony transmission equipment
731320,Installer-repairer of telecommunications lines and devices
731325,Installer-repairer of telephone networks and cables
731330,Repairer of telecommunications devices in the laboratory
732105,"Electrician, Electrician, Telephone and Data Communication Line Maintenance Electrician"
732110,Electrical and telephone cable splicer (overhead and underground)
732115,"Cable, electrical and telephone line examiner"
732120,Installer of high and low voltage power lines (overhead and underground network)
732125,Electrical Installer (Vehicle Traction)
732130,Installer-repairer of telephone and data communication networks
732135,Telephone Line Linker
732140,Photovoltaic system installer
740105,Precision Mechanics Supervisor
740110,Musical Instrument Manufacturing Supervisor
741105,Precision Instrument Adjuster
741110,Optical Instrument Assembler
741115,Precision Instrument Assembler
741120,Watchmaker (manufacture)
741125,Watchmaker (repair)
742105,Musical instrument tuner
742110,Accordion maker
742115,String instrument maker
742120,"Percussion instrument maker (skin, leather or plastic)"
